Nombre,Descripcion,CategoriaID,Precio,Talla,Color,Stock,ProveedorID
Camiseta Básica,Algodón 100%,1,150.00,S,Blanco,50,1
Camiseta Estampada,Diseño urbano,1,200.00,M,Azul,30,1
Blusa Formal,Seda sintética,1,350.00,L,Rosa,20,1
Chamarra Invernal,Acolchada térmica,1,850.00,M,Negro,15,1
Suéter Lana,Tejido grueso,1,450.00,L,Gris,25,1
Sudadera Hoodie,Con capucha sport,1,380.00,XL,Rojo,20,1
Jeans Skinny,Mezclilla elástica,2,450.00,32,Azul Claro,40,1
Pantalón Vestir,Oficina formal,2,500.00,34,Negro,18,1
Falda Plisada,Corte midi,2,320.00,M,Beige,15,1
Shorts Denim,Verano casual,2,250.00,30,Azul,20,1
Cinturón Cuero,Hebilla metálica,3,120.00,UNICA,Café,50,1
Bufanda Invernal,Lana suave,3,180.00,UNICA,Rojo,30,1
Gorro Beanie,Estilo urbano,3,150.00,UNICA,Negro,40,1
Guantes Térmicos,Impermeables,3,200.00,M,Azul,25,1
Tenis Casuales,Suela cómoda,4,600.00,27,Blanco,20,1
Zapatos Oxford,Cuero sintético,4,750.00,28,Café,15,1
Sandalias Verano,Plataforma ligera,4,400.00,24,Dorado,25,1
Botas de Lluvia,Impermeables altas,4,550.00,25,Amarillo,12,1
Botines Chelsea,Estilo casual,4,800.00,26,Negro,18,1
Vestido Noche,Largo elegante,5,1200.00,M,Rojo,10,1
Vestido Floral,Primavera ligero,5,650.00,S,Verde,15,1
Túnica Playa,Salida de baño,5,350.00,UNICA,Blanco,20,1
Jumpsuit,Enterizo formal,5,700.00,L,Negro,12,1
Romper,Corto casual,5,450.00,S,Azul,18,1
Abrigo Largo,Lana elegante,1,1500.00,L,Camel,8,1
Calcetines Pack,Algodón x3,3,100.00,UNICA,Varios,100,1
Mochila Escolar,Resistente,3,450.00,UNICA,Negro,30,1
Zapatillas Running,Deportivas,4,950.00,27,Neón,15,1
Mocasines,Clásicos,4,650.00,26,Azul Marino,20,1
Vestido Coctel,Corto brillante,5,900.00,S,Plata,8,1